n,lambda=3,lambda=4,lambda=2
0,0.049787068367863944,0.01831563888873418,0.1353352832366127
1,0.14936120510359183,0.07326255555493671,0.2706705664732254
2,0.22404180765538775,0.14652511110987343,0.2706705664732254
3,0.22404180765538775,0.19536681481316456,0.1804470443154836
4,0.16803135574154082,0.19536681481316456,0.0902235221577418
5,0.10081881344492448,0.15629345185053165,0.03608940886309672
6,0.05040940672246225,0.1041956345670211,0.012029802954365574
7,0.02160403145248382,0.059540362609726345,0.0034370865583901638
8,0.008101511794681432,0.029770181304863173,0.0008592716395975409
9,0.002700503931560477,0.013231191691050298,0.00019094925324389798
10,0.0008101511794681432,0.0052924766764201195,3.8189850648779595e-05
11,0.00022095032167312998,0.0019245369732436798,6.943609208869018e-06
12,5.5237580418282494e-05,0.00064151232441456,1.1572682014781697e-06
13,1.2747133942680574e-05,0.00019738840751217228,1.7804126176587226e-07
14,2.7315287020029804e-06,5.6396687860620656e-05,2.5434465966553178e-08
15,5.46305740400596e-07,1.5039116762832175e-05,3.391262128873757e-09
16,1.0243232632511176e-07,3.759779190708044e-06,4.2390776610921964e-10
17,1.8076292880902075e-08,8.846539272254221e-07,4.987150189520231e-11
18,3.0127154801503463e-09,1.9658976160564933e-07,5.541277988355812e-12
19,4.756919179184757e-10,4.138731823276828e-08,5.832924198269276e-13
20,7.135378768777135e-11,8.277463646553656e-09,5.832924198269276e-14
